Id,trees,sec,ccc,csc,ht,dbh
3,1,0,45.1,39.3,13.3,11.7
3,1,1,37.1,33.5,13.3,11.7
3,1,2,36.3,32.1,13.3,11.7
3,1,3,34.2,30.2,13.3,11.7
3,1,4,32.5,29.6,13.3,11.7
3,1,5,30,27.4,13.3,11.7
3,1,6,28.2,25.8,13.3,11.7
3,1,7,26.6,23.4,13.3,11.7
3,1,8,24.9,22.7,13.3,11.7
3,1,9,19.2,16.5,13.3,11.7
3,1,10,16.7,15.1,13.3,11.7
3,1,11,13.1,11.9,13.3,11.7
3,1,12,9,8.2,13.3,11.7
3,1,13,3.9,3.4,13.3,11.7
3,1,13.3,0,0,13.3,11.7
3,2,0,29.1,24.5,11.63,7
3,2,1,22.8,20.3,11.63,7
3,2,2,22,19.8,11.63,7
3,2,3,20.1,18.5,11.63,7
3,2,4,19,17.5,11.63,7
3,2,5,17.8,16.4,11.63,7
3,2,6,15.5,14,11.63,7
3,2,7,12.7,11.6,11.63,7
3,2,8,10.4,10,11.63,7
3,2,9,7,6.4,11.63,7
3,2,10,3,2.7,11.63,7
3,2,11.63,0,0,11.63,7
3,3,0,24.8,20.8,10.23,5.4
3,3,1,18,15.2,10.23,5.4
3,3,2,16.2,15.7,10.23,5.4
3,3,3,15.9,14.1,10.23,5.4
3,3,4,14.4,13.2,10.23,5.4
3,3,5,13.5,12.3,10.23,5.4
3,3,6,11.7,10.8,10.23,5.4
3,3,7,11,9.6,10.23,5.4
3,3,8,8.6,7.9,10.23,5.4
3,3,9,5.9,5.3,10.23,5.4
3,3,10,3.8,2.2,10.23,5.4
3,3,10.23,0,0,10.23,5.4
3,4,0,51.9,45.3,13.35,12.7
3,4,1,42.7,38.7,13.35,12.7
3,4,2,39.4,35.9,13.35,12.7
3,4,3,37.2,33.8,13.35,12.7
3,4,4,33.7,30.9,13.35,12.7
3,4,5,27,24.4,13.35,12.7
3,4,6,31.7,28.9,13.35,12.7
3,4,7,29.1,26.4,13.35,12.7
3,4,8,22.1,20.2,13.35,12.7
3,4,9,16.7,14.2,13.35,12.7
3,4,10,20,18,13.35,12.7
3,4,11,11.5,10.4,13.35,12.7
3,4,12,5.5,4.8,13.35,12.7
3,4,13.35,0,0,13.35,12.7
3,5,0,36.3,31.1,15.35,9
3,5,1,31,28.4,15.35,9
3,5,2,29,26.8,15.35,9
3,5,3,28,25.5,15.35,9
3,5,4,26,24.5,15.35,9
3,5,5,25,23,15.35,9
3,5,6,23.2,21.8,15.35,9
3,5,7,21.4,20.1,15.35,9
3,5,8,20.2,18.7,15.35,9
3,5,9,18.6,17.1,15.35,9
3,5,10,17,15.4,15.35,9
3,5,11,14.6,13.4,15.35,9
3,5,12,12.4,11.4,15.35,9
3,5,13,9.8,8.5,15.35,9
3,5,14,6,5.4,15.35,9
3,5,15,0,0,15.35,9
4,6,0,49.3,42.8,19.7,12.9
4,6,1,40.7,37.4,19.7,12.9
4,6,2,39.7,36.5,19.7,12.9
4,6,3,37.8,34.6,19.7,12.9
4,6,4,36.3,33.6,19.7,12.9
4,6,5,34.4,31.9,19.7,12.9
4,6,6,33.7,30.9,19.7,12.9
4,6,7,31.5,30.2,19.7,12.9
4,6,8,30.2,27.8,19.7,12.9
4,6,9,29,26.8,19.7,12.9
4,6,10,26.8,24.7,19.7,12.9
4,6,11,25.6,23.4,19.7,12.9
4,6,12,23.2,21,19.7,12.9
4,6,13,21,19.4,19.7,12.9
4,6,14,18.9,17.1,19.7,12.9
4,6,15,17.1,15.6,19.7,12.9
4,6,16,14.6,13.3,19.7,12.9
4,6,17,12.1,10.7,19.7,12.9
4,6,18,8.5,7.4,19.7,12.9
4,6,19,3.6,2.7,19.7,12.9
4,6,20,0,0,19.7,12.9
4,7,0,55,47,20.36,14.6
4,7,1,48.1,42.9,20.36,14.6
4,7,2,45,31.7,20.36,14.6
4,7,3,43.9,39.7,20.36,14.6
4,7,4,41.9,37.7,20.36,14.6
4,7,5,39.2,36.2,20.36,14.6
4,7,6,38.8,35.4,20.36,14.6
4,7,7,36.4,33.4,20.36,14.6
4,7,8,34.1,40.9,20.36,14.6
4,7,9,32.9,26.8,20.36,14.6
4,7,10,31.9,28.7,20.36,14.6
4,7,11,29,32,20.36,14.6
4,7,12,27.1,25,20.36,14.6
4,7,13,25.7,23.6,20.36,14.6
4,7,14,23.2,20.8,20.36,14.6
4,7,15,18.3,10.3,20.36,14.6
4,7,16,15.5,16.4,20.36,14.6
4,7,17,11.7,13.6,20.36,14.6
4,7,18,8.1,7,20.36,14.6
4,7,19,2.9,2.4,20.36,14.6
4,7,20,0,0,20.36,14.6
4,8,0,40.1,35,18.57,10.6
4,8,1,34.8,31.5,18.57,10.6
4,8,2,32.8,30.5,18.57,10.6
4,8,3,32.2,29.6,18.57,10.6
4,8,4,30.1,28,18.57,10.6
4,8,5,29.6,27.3,18.57,10.6
4,8,6,27.5,25.7,18.57,10.6
4,8,7,27.3,25,18.57,10.6
4,8,8,25.3,23.6,18.57,10.6
4,8,9,24.7,22,18.57,10.6
4,8,10,22.1,20.4,18.57,10.6
4,8,11,20.4,19.7,18.57,10.6
4,8,12,18.8,17,18.57,10.6
4,8,13,16.7,15,18.57,10.6
4,8,14,14.8,13.2,18.57,10.6
4,8,15,12.7,11.5,18.57,10.6
4,8,16,10.3,9.4,18.57,10.6
4,8,17,7.4,6.5,18.57,10.6
4,8,18,3.4,2.6,18.57,10.6
4,8,18.57,0,0,18.57,10.6
